what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1435130250083
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1435130253525
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1435130261917
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435130263506
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435130312580
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435130324136
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435130341515
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435130360002
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435130401064
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435130402322
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435130448506
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435130449863
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435130468642
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435130471385
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435130481401
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435130488376
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435130525186
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1435130536406
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435130536975
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435130572385
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435130573599
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435130793178
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435130803706
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435130827021
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1435130833726
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1435130840468
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1435130859434
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1435130877586
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1435130881183
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435130895341
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435130963328
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435130967704
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435130968695
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.html",1435130970276
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1435130971734
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.html",1435130990167
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1435131001458
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1435131018310
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.html",1435131019144
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435131019897
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1435131019921
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1435131020251
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435131029341
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435131058148
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435132069351
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435132071955
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435132077629
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435132100784
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435132103562
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.html",1435132104846
activated,editor,com.salesforce.ide.ui.editors,28.0.1.201309101331,"com.salesforce.ide.ui.editors.apex",1435132105789
