what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1395898955590
started,bundle,org.eclipse.epp.mpc.ui,1.1.0.I20110525-0742,"org.eclipse.epp.mpc.ui",1395898955621
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1395898955833
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1395898955834
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1395898955858
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1395898955865
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1395898955918
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395898956474
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395898959169
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1395898959367
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1395898959371
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1395898959372
opened,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1395898959397
opened,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1395898959457
activated,perspective,com.salesforce.ide.ui,28.0.1.201309101331,"com.salesforce.ide.perspective",1395898959492
started,bundle,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser",1395898959511
opened,editor,com.salesforce.ide.ui.editors.intro,28.0.1.201309101331,"com.salesforce.ide.ui.editors.intro",1395898959847
started,bundle,org.eclipse.wst.xml.ui,1.1.200.v201105111835,"org.eclipse.wst.xml.ui",1395898959862
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1395898959867
activated,editor,com.salesforce.ide.ui.editors.intro,28.0.1.201309101331,"com.salesforce.ide.ui.editors.intro",1395898959877
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.perspectives.showPerspective",1395898959929
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.perspectives.showPerspective",1395898959929
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395898964123
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1395898982043
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395899295055
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1395899295075
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1395899297635
closed,editor,com.salesforce.ide.ui.editors.intro,28.0.1.201309101331,"com.salesforce.ide.ui.editors.intro",1395899297635
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395899302311
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395899363517
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395899370948
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395899373592
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1395899373600
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395899375131
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395899376502
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1395899376576
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1395899376914
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1395899376920
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1395899377553
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1395899377557
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1395899377566
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1395899377641
